Data do empenho;Número do empenho;Descrição do órgão;Histórico do empenho;Nome do credor;Valor do empenho;Valor liquidado R$;Valor pago R$;Saldo a pagar R$
 22/12/2020; 3018; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE DESLOCAMENTO DE REDE DO SISTEMA DE ILUMINAÇÃO PÚBLICA DO MUNICÍPIO, CONFORME NOTA PS: 400626773 E PLANILHA ORÇAMENTÁRIA EM ANEXO AO EDITAL,SECRETARIA DE OBRAS E SERVIÇOS URBANOS.; TEZZA MONTAGENS ELETRICAS LTDA; R$ 1.840,83; R$ 0,00; R$ 0,00; R$ 1.840,83
 07/12/2020; 2895; SECRETARIA DE EDUCAÇÃO; REFERENTE A EXECUÇÃO DE AMPLIAÇÃO DE SALAS E REFORMAS PARA PREVENTIVO DE INCÊNDIO NA ESCOLA DE ENSINO FUNDAMENTAL (E.E.F.) PROF. DARCY RIBEIRO, COM ÁREA TOTAL DE 194,99 M², NO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC, DURANTE O EXERCÍCIO DE 2020.; CONSTRUTORA BIFF EIRELI; R$ 774,63; R$ 0,00; R$ 0,00; R$ 774,63
 08/10/2021; 4424; SECRETARIA DE EDUCAÇÃO; REFERENTE A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REFORMA DA CRECHE CEI LIBÂNIA PEREIRA MARTINS QUE POSSUI UMA ÁREA TOTAL CONSTRUÍDA DE 369,52M², SITUADA NA ESTRADA JORGE FLORIANO BORGES, BAIRRO RIO NOVO, NO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC; C GONCALVES BATISTA; R$ 77.508,61; R$ 77.507,99; R$ 77.507,99; R$ 0,62
 02/03/2022; 790; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A AQUISIÇÃO DE CADEIRAS PARA USO NA SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS.; MOVEIS GAIVOTA LTDA; R$ 1.556,70; R$ 1.556,70; R$ 1.556,70; R$ 0,00
 10/03/2022; 890; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A AQUISIÇÃO DE MÓVEIS DESTINADOS A MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS. FORNECIDOS DE FORMA PARCELADA.; APICEBR COMERCIAL EIRELI; R$ 413,00; R$ 413,00; R$ 413,00; R$ 0,00
 30/11/2022; 320; CÂMARA MUNICIPAL DE VEREADORES; PELA DESPESA EMPENHADA REF, A 1 LAVAÇÃO DE VEICULO COM CERA; GILMAR DELFINO DOS SANTOS 39645185068; R$ 65,00; R$ 65,00; R$ 65,00; R$ 0,00
 07/12/2022; 339; CÂMARA MUNICIPAL DE VEREADORES;" ORDEM DE SERVIÇO DE DIÁRIA Nº74/2022

 
O Sr  JOSIMAR RAMOS BORGES   OCUPANTE   DO CARGO VEREADOR  DESTA CASA LEGISLATIVA ESTA SE DESLOCANDO PARA A CIDADE DE  FLORIANOPOLIS SC SAÍDA PREVISTA AS 08;00 HORAS DO DIA 06/12/2022, RETORNANDO AS 18:00  HORAS DO MESMO DIA  TENDO DIREIRO A UMA DIÁRIA SEM PERNOITE NO VALOR DE 300,00 (TREZENTOS REAIS)CONFORME RESOLUÇÃO Nº56 DE 10 DE DEZEMBRO DE 2003 E SUA ALTERAÇÃO RESOLUÇÃO 12 DE 27 DE FEVEREIRODE 2015.
         


         

ASSUNTO; PARTICIPAR JUNTAMENTO COM O PRESIDENTE DESTA CASA LEGISLATIVA A ENTREGA DE 23 MAQUINAS MOTONIVELADORA   SENDO UMA PARA O MUNICIPIO DE BALNEÁRIO GAIVOTA SC CONVITE DO GOVERNO DO ESTADO DE SANTA CATARIA CALORS MOISES DA SILVA E O SECRETARIO DE ESTADO DE INFRA E MOBILIDADE THIAGO AUGUSTO VIEIRA  NO DIA 6 DE DEZEMBRO DE 2022 CONFORME CONVITE EM ANEXO"; JOSIMAR RAMOS BORGES; R$ 300,00; R$ 300,00; R$ 300,00; R$ 0,00
 30/11/2022; 325; CÂMARA MUNICIPAL DE VEREADORES; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 11/2022; INSS-INSTITUTO NACIONAL DO SEGURO SOCIAL; R$ 17.766,77; R$ 17.766,77; R$ 17.766,77; R$ 0,00
 14/03/2022; 940; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A AQUISIÇÃO DE  CADEIRA ESCRITÓRIO EXECUTIVA DESTINADA A MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS.; MOVEIS GAIVOTA LTDA; R$ 518,90; R$ 518,90; R$ 518,90; R$ 0,00
 05/04/2022; 1296; SECRETARIA DE EDUCAÇÃO; REF.: AQUISIÇÃO DE PARQUES INFANTIS (PLAYGROUND), EQUIPAMENTOS/ BRINQUEDOS A SEREM INSTALADOS NAS ESCOLAS DA REDE MUNICIPAL DE ENSINO INFANTIL, OBEDECENDO ÀS ESPECIFICAÇÕES MÍNIMAS CONSTANTES NO EDITAL, TERMO DE REFERÊNCIA E DEMAIS ANEXOS.; H. F. SOLUCOES LTDA; R$ 70.690,00; R$ 70.690,00; R$ 70.690,00; R$ 0,00
 27/09/2022; 3704; SECRETARIA DE EDUCAÇÃO; REFERENTE À AQUISIÇÃO DE MATERIAIS DE LIMPEZA, DESTINADOS A MANUTENÇÃO DE USO DO ENSINO FUNDAMENTAL DA SECRETARIA MUNICIPAL DE EDUCAÇÃO.; ERIC MACHADO CARDOSO; R$ 101,00; R$ 0,00; R$ 0,00; R$ 0,00
 29/03/2022; 1130; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A AQUISIÇÃO DE AR CONDICIONADO PARA ATENDER AS NECESSIDADES DA SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS.; MOVEIS GAIVOTA LTDA; R$ 3.540,00; R$ 3.540,00; R$ 3.540,00; R$ 0,00
 05/12/2022; 4526; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE AQUISIÇAO DE GENEROS ALIMENTICIOS DESTINADOS A MANUTENÇAO DAS NECESSIDADES BASICAS DA POLICIA MILITAR.; COOPERATIVA AGROINDUSTRIAL COOPERJA; R$ 1.468,73; R$ 1.468,73; R$ 1.468,73; R$ 0,00
 07/12/2022; 340; CÂMARA MUNICIPAL DE VEREADORES;" ORDEM DE SERVIÇO DE DIÁRIA Nº75/2022

 
O Sr  FELIPE AGOSTINHO SANTOS   OCUPANTE   DO CARGO VEREADOR  DESTA CASA LEGISLATIVA ESTA SE DESLOCANDO PARA A CIDADE DE  FLORIANOPOLIS SC SAÍDA PREVISTA AS 08;00 HORAS DO DIA 06/12/2022, RETORNANDO AS 18:00  HORAS DO MESMO DIA  TENDO DIREIRO A UMA DIÁRIA SEM PERNOITE NO VALOR DE 300,00 (TREZENTOS REAIS)CONFORME RESOLUÇÃO Nº56 DE 10 DE DEZEMBRO DE 2003 E SUA ALTERAÇÃO RESOLUÇÃO 12 DE 27 DE FEVEREIRODE 2015.
         


         

ASSUNTO; PARTICIPAR JUNTAMENTO COM O PRESIDENTE DESTA CASA LEGISLATIVA A ENTREGA DE 23 MAQUINAS MOTONIVELADORA   SENDO UMA PARA O MUNICIPIO DE BALNEÁRIO GAIVOTA SC CONVITE DO GOVERNO DO ESTADO DE SANTA CATARIA CALORS MOISES DA SILVA E O SECRETARIO DE ESTADO DE INFRA E MOBILIDADE THIAGO AUGUSTO VIEIRA  NO DIA 6 DE DEZEMBRO DE 2022 CONFORME CONVITE EM ANEXO"; FELIPE AGOSTINHO DOS SANTOS; R$ 300,00; R$ 300,00; R$ 300,00; R$ 0,00
 30/11/2022; 321; CÂMARA MUNICIPAL DE VEREADORES; PELA DESPESA EMPENHADA REF, A 1 LAVAÇÃO DE VEICULO COM CERA; GILMAR DELFINO DOS SANTOS 39645185068; R$ 65,00; R$ 65,00; R$ 65,00; R$ 0,00
 07/12/2022; 337; CÂMARA MUNICIPAL DE VEREADORES;" ORDEM DE SERVIÇO DE DIÁRIA Nº72/2022

 
O Sr JAISON LEAL PEREIRA   OCUPANTE   DO CARGO VEREADOR   DESTA CASA LEGISLATIVA ESTA SE DESLOCANDO PARA A CIDADE DE  FLORIANOPOLIS SC SAÍDA PREVISTA AS 08;00 HORAS DO DIA 06/12/2022, RETORNANDO AS 18:00  HORAS DO MESMO DIA  TENDO DIREIRO A UMA DIÁRIA SEM PERNOITE NO VALOR DE 300,00 (TREZENTOS REAIS)CONFORME RESOLUÇÃO Nº56 DE 10 DE DEZEMBRO DE 2003 E SUA ALTERAÇÃO RESOLUÇÃO 12 DE 27 DE FEVEREIRODE 2015.
         


         

ASSUNTO; PARTICIPAR JUNTAMENTO COM O PRESIDENTE DESTA CASA LEGISLATIVA A ENTREGA DE 23 MAQUINAS MOTONIVELADORA   SENDO UMA PARA O MUNICIPIO DE BALNEÁRIO GAIVOTA SC CONVITE DO GOVERNO DO ESTADO DE SANTA CATARIA CALORS MOISES DA SILVA E O SECRETARIO DE ESTADO DE INFRA E MOBILIDADE THIAGO AUGUSTO VIEIRA  NO DIA 6 DE DEZEMBRO DE 2022 CONFORME CONVITE EM ANEXO"; JAISON LEAL PEREIRA; R$ 300,00; R$ 300,00; R$ 300,00; R$ 0,00
 12/12/2022; 342; CÂMARA MUNICIPAL DE VEREADORES; PELA DESPESA EMPENHADA REF, SUBSTITUIÇÃO DE 2 SENSORES INFRAVERMELHO , DESTA CASA LEGISLATIVA; PUMA SEGURANÇA ELETRONICA; R$ 90,00; R$ 90,00; R$ 90,00; R$ 0,00
 07/12/2022; 338; CÂMARA MUNICIPAL DE VEREADORES;" ORDEM DE SERVIÇO DE DIÁRIA Nº73/2022

 
A Sra MARIA LEANDRO NUNES   OCUPANTE   DO CARGO VEREADORA  DESTA CASA LEGISLATIVA ESTA SE DESLOCANDO PARA A CIDADE DE  FLORIANOPOLIS SC SAÍDA PREVISTA AS 08;00 HORAS DO DIA 06/12/2022, RETORNANDO AS 18:00  HORAS DO MESMO DIA  TENDO DIREIRO A UMA DIÁRIA SEM PERNOITE NO VALOR DE 300,00 (TREZENTOS REAIS)CONFORME RESOLUÇÃO Nº56 DE 10 DE DEZEMBRO DE 2003 E SUA ALTERAÇÃO RESOLUÇÃO 12 DE 27 DE FEVEREIRODE 2015.
         


         

ASSUNTO; PARTICIPAR JUNTAMENTO COM O PRESIDENTE DESTA CASA LEGISLATIVA A ENTREGA DE 23 MAQUINAS MOTONIVELADORA   SENDO UMA PARA O MUNICIPIO DE BALNEÁRIO GAIVOTA SC CONVITE DO GOVERNO DO ESTADO DE SANTA CATARIA CALORS MOISES DA SILVA E O SECRETARIO DE ESTADO DE INFRA E MOBILIDADE THIAGO AUGUSTO VIEIRA  NO DIA 6 DE DEZEMBRO DE 2022 CONFORME CONVITE EM ANEXO"; MARIA LEANDRO NUNES; R$ 300,00; R$ 300,00; R$ 300,00; R$ 0,00
 26/10/2022; 4110; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REF.: CONTRATAÇÃO DE EMPRESA DO RAMO PERTINENTE PARA INTEGRAÇÃO TELEFÔNICA, IMPLANTAÇÃO, SUPORTE SOLUÇÃO COMPLETA DE EQUIPAMENTOS PARA ATENDER O MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC.; PONTONET COMPUTADORES E REDES LTDA; R$ 2.484,98; R$ 2.484,98; R$ 2.484,98; R$ 0,00
 02/12/2022; 4525; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE AQUISIÇAO DE MATERIAIS DE INFORMATICA DESTINADOS A MANUTENÇAO DAS NECESSIDADES BASICAS DO CORPO DE BOMBEIROS MILITAR.; DALPIAZ INFORMATICA EIRELI; R$ 74,90; R$ 74,90; R$ 74,90; R$ 0,00
 08/07/2022; 2649; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A AMORTIZAÇÃO FINANCIAMENTO N°2019019201 JUNTO A AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA.; AGENCIA DE FOMENTOS DO ESTADO-SC S/A -  BADESC; R$ 230.000,00; R$ 184.359,66; R$ 184.359,66; R$ 0,00
 30/11/2022; 4505; SECRETARIA DE EDUCAÇÃO; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 11/2022; MUNICIPIO DE BALNEARIO GAIVOTA; R$ 833,70; R$ 833,70; R$ 833,70; R$ 0,00
 02/12/2022; 4522; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE AQUISIÇÃO DE MATERIAIS DESTINADOS A MANUTENÇÃO DA POLICIA MILITAR- CONVENIO DE TRANSITO.; CONAR CASA E CONSTRUCAO LTDA; R$ 303,06; R$ 303,06; R$ 303,06; R$ 0,00
 02/12/2022; 4524; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE AQUISIÇÃO DE GENEROS ALIMENTICIOS DESTINADOS  A MANUTENÇÃO DAS NECESSIDADES BASICAS DO CORPO DE BOMBEIROS MILITAR.; CAVERA HORTIFRUTIGRANJEIRO LTDA; R$ 1.307,98; R$ 1.307,98; R$ 1.307,98; R$ 0,00
 03/01/2022; 27; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A CONTRIBUIÇÃO DA CNM (CONFEDERAÇÃO NACIONAL DOS MUNICÍPIOS), LEI Nº 458,2006 , DURANTE O EXERCÍCIO DE 2022.; CONFEDERACAO NACIONAL DE MUNICIPIOS-CNM; R$ 5.210,00; R$ 5.210,00; R$ 5.210,00; R$ 0,00
 08/07/2022; 2648; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A CONTRIBUIÇÃO DA CNM (CONFEDERAÇÃO NACIONAL DOS MUNICÍPIOS), LEI Nº 458,2006 , DURANTE O EXERCÍCIO DE 2022.; CONFEDERACAO NACIONAL DE MUNICIPIOS-CNM; R$ 4.800,00; R$ 4.800,00; R$ 4.800,00; R$ 0,00
 05/12/2022; 4531; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A CONTRIBUIÇÃO DA CNM (CONFEDERAÇÃO NACIONAL DOS MUNICÍPIOS), LEI Nº 458,2006 , DURANTE O EXERCÍCIO DE 2022.; CONFEDERACAO NACIONAL DE MUNICIPIOS-CNM; R$ 280,00; R$ 280,00; R$ 280,00; R$ 0,00
 09/11/2022; 4274; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A CONTRIBUIÇÃO DA FECAM (FEDERAÇÃO CATARINENSE DOS MUNICÍPIOS), LEI Nº458/2006, DURANTE O EXERCÍCIO DE 2022.; FECAM FEDERACAO CATARINENSE MUNICIPIOS; R$ 1.352,12; R$ 1.352,12; R$ 1.352,12; R$ 0,00
 06/12/2022; 335; CÂMARA MUNICIPAL DE VEREADORES; PELA DESPESA EMPENHADA REF, SERVIÇO DE INTERNET IP FIXO 550MB PROVENIENTE DO MES DE novembro DE 2022; COPERLINK TELECOM LTDA; R$ 219,90; R$ 219,90; R$ 219,90; R$ 0,00
 30/11/2022; 4508; GABINETE DO PREFEITO; ADIANTAMENTO REFERENTE AS DESPESAS DE HOSPEDAGEM, ALIMENTAÇÃO,  ORIUNDAS DA PARTICIPAÇÃO DA CONSELHEIRA INTEGRANTE DA DIRETORIA DA ACCT, NO II ENCONTRO NACIONAL DE CONSELHEIROS TUTELARES, NA CIDADE DE BRASÍLIA/DF.; REJANE FRANCO DA SILVA DA LUZ; R$ 300,00; R$ 300,00; R$ 300,00; R$ 0,00
 10/11/2022; 4290; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE À GUIA ART N°8534651-2, LOCALIZAÇÃO: AV. ALVIN MANOEL CARDOSO, S/N.; CREA CONS. REGIONAL DE ENG. ARQ. E AGRONOMIA; R$ 88,78; R$ 88,78; R$ 88,78; R$ 0,00
 06/07/2022; 2594; SECRETARIA DE EDUCAÇÃO;" REFERENTE À AQUISIÇÃO DE ARMÁRIOS NOVOS PARA ATENDER AS NECESSIDADES BÁSICAS DO NOVO CENTRO DE EDUCAÇÃO INFANTIL BRILHAMARES DA SECRETARIA MUNICIPAL DE EDUCAÇÃO.
LICITAÇÃO COMPARTILHADA REALIZADA PELO CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA, CNPJ Nº 12.075.748/0001-32 PROCESSO ADMINISTRATIVO LICITATÓRIO 000032/2022 - CINCATARINA, PREGÃO ELETRÔNICO Nº 0026/2022 - CINCATARINA, ATA DE REGISTRO DE PREÇO N° , AT22CIN050241"; JOSE CAETANO ALVES NETO; R$ 5.802,00; R$ 5.802,00; R$ 5.802,00; R$ 0,00
 11/11/2022; 4304; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; REFERENTE À AUXILIO FUNERAL PARA A FAMÍLIA DE MARIA CANDIDA DA SILVA, PESSOAS QUE SE ENCONTRAM EM SITUAÇÃO DE VULNERABILIDADE SOCIAL, SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL.; LAMARK & PEREIRA LTDA ME -FUNERARIA SANTA CATARINA; R$ 1.200,00; R$ 1.200,00; R$ 1.200,00; R$ 0,00
 09/11/2022; 4267; SECRETARIA DE EDUCAÇÃO; REFERENTE À AQUISIÇÃO DE COMBUSTÍVEL (DIESEL S10) PARA MANUTENÇÃO DOS VEÍCULOS DE USO DA SECRETARIA DE EDUCAÇÃO MUNICIPAL, ENSINO FUNDAMENTAL.; REDE FURNAS COMERCIO DE COMBUSTIVEIS LTDA; R$ 7.880,22; R$ 7.880,22; R$ 7.880,22; R$ 0,00
 21/10/2022; 4085; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; REFERENTE AQUISIÇÃO DE GENEROS ALIMENTICIOS DESTINADOS A MANUTENÇÃO DA MERENDA DO SERVIÇO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS.; M J SCHEFFER & CIA LTDA; R$ 102,00; R$ 102,00; R$ 102,00; R$ 0,00
 11/11/2022; 4303; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; REFERENTE À AUXILIO FUNERAL PARA A FAMÍLIA DE ZITA DA SILVA RIBEIRO, PESSOAS QUE SE ENCONTRAM EM SITUAÇÃO DE VULNERABILIDADE SOCIAL, SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL.; C. DA ROSA SANTANA & CIA LTDA; R$ 2.500,00; R$ 2.500,00; R$ 2.500,00; R$ 0,00
 07/11/2022; 4247; SECRETARIA DE EDUCAÇÃO; REFERENTE À AQUISIÇÃO DE COMBUSTÍVEL (DIESEL COMUM) PARA MANUTENÇÃO DOS VEÍCULOS DE USO DA SECRETARIA DE EDUCAÇÃO MUNICIPAL, ENSINO FUNDAMENTAL.; REDE FURNAS COMÉRCIO DE COMBUSTÍVEIS LTDA; R$ 11.189,19; R$ 11.189,19; R$ 11.189,19; R$ 0,00
 28/11/2022; 4418; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE AQUISIÇÃO DE SPRAY NEVOA DESTINADO A MANUTENÇÃO DAS NECESSIDADES BASICAS DA POLICIA MILITAR- CONVENIO DE TRANSITO.; SAFE COMERCIO DE ARTIGOS MILITARES EIRELI; R$ 6.342,00; R$ 6.342,00; R$ 6.342,00; R$ 0,00
 14/10/2022; 3980; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; REFERENTE À AQUISIÇÃO DE MATERIAL DE LIMPEZA PARA ATENDER AS NECESSIDADES BÁSICAS DE USO DA SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL.; NICOLAU SATURNINO VIEIRA; R$ 1.941,10; R$ 1.941,10; R$ 1.941,10; R$ 0,00
 11/11/2022; 4302; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; REFERENTE À AUXILIO FUNERAL PARA A FAMÍLIA DE CASSIANO DA ROCHA BUENO, PESSOAS QUE SE ENCONTRAM EM SITUAÇÃO DE VULNERABILIDADE SOCIAL, SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL.; LAMARK & PEREIRA LTDA ME -FUNERARIA SANTA CATARINA; R$ 1.200,00; R$ 1.200,00; R$ 1.200,00; R$ 0,00
 20/10/2022; 4079; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; REFERENTE AQUISIÇÃO DE GENEROS ALIMENTICIOS DESTINADOS A MANUTENÇÃO DA MERENDA DO SERVIÇO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS.; M J SCHEFFER & CIA LTDA; R$ 48,08; R$ 48,08; R$ 48,08; R$ 0,00
 22/03/2022; 1051; SECRETARIA DA AGRICULTURA, PESCA  E MEIO AMBIENTE; REFERENTE A AQUISIÇÃO DE ESCAVADEIRA HIDRÁULICA PARA ATENDER AS NECESSIDADES DA SECRETARIA DE AGRICULTURA.; AIZ INDUSTRIA DE MAQUINAS E IMPLEMENTOS LTDA; R$ 50.000,00; R$ 50.000,00; R$ 50.000,00; R$ 0,00
 07/03/2022; 846; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE A AQUISIÇÃO DE EQUIPAMENTO TELEFONE SEM FIO, PARA MANUTENÇÃO DE USO DAS NECESSIDADES DA SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E FINANÇAS.; MAX ROGER MAYA DEVES 09186524992; R$ 970,00; R$ 970,00; R$ 970,00; R$ 0,00
 07/07/2022; 2623; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; AQUISIÇÃO DE VEICULO PARA USO DA SECRETARIA DE OBRAS: LICITAÇÃO COMPARTILHADA REALIZADA PELO CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA, CNPJ Nº 12.075.748/0001-32 PROCESSO ADMINISTRATIVO LICITATÓRIO 000019/2022 - CINCATARINA, PREGÃO ELETRÔNICO Nº 0010/2022 - CINCATARINA, ATA DE REGISTRO DE PREÇO N° , AT22CIN064050; LOUREIRO E FIGUEIREDO COMERCIO DE VEICULOS LTDA; R$ 12.000,00; R$ 12.000,00; R$ 12.000,00; R$ 0,00
 04/01/2022; 302; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; REFERENTE AQUISIÇÃO DE MÓVEIS, DESTINADOS A MANUTENÇÃO DAS NECESSIDADES DA SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS.; APICEBR COMERCIAL EIRELI; R$ 3.547,00; R$ 3.547,00; R$ 3.547,00; R$ 0,00
 05/04/2022; 1310; SECRETARIA DE EDUCAÇÃO; AQUISIÇÃO  DE MATERIAIS E EQUIPAMENTOS DE INFORMÁTICA DESTINADOS AO  ATENDIMENTO DA SECRETARIA DA EDUCAÇÃO, ENSINO FUNDAMENTAL.; GOLD COMPUTADORES LTDA; R$ 4.180,00; R$ 4.180,00; R$ 4.180,00; R$ 0,00
